Default Report
Last Modified: 2018-08-19 20:21:03 MDT


"Q1 - Though many _____ endlessly praised his work, Dan often wished for some honest criticism."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Though many _____ endlessly praised his work, Dan often wished for some honest criticism.",1.00,5.00,3.79,1.51,2.27,58

#,Answer,%,Count
1,"In 1770s colonial New England, Puritans _____ the celebration of Christmas, which they considered to be an odious reminder of the Pope's tyranny.",1.00,5.00,4.30,1.30,1.69,54

#,Answer,%,Count
1,placated,3.70%,2
2,extolled,16.67%,9
3,circumscribed,1.85%,1
4,tempered,1.85%,1
5,repudiated,75.93%,41
,Total,100%,54

Q20 - The sternocleidomastoid is the major muscle that laterally flexes and rotates what?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,1.00,4.00,3.25,1.30,1.69,20

#,Answer,%,Count
1,tongue,25.00%,5
2,eye,0.00%,0
3,knee,0.00%,0
4,head,75.00%,15
,Total,100%,20

"Q21 - Arrange in the correct order the following treatment steps for somebody who has lost consciousness: (i) call 911 or inform someone of the situation, (ii) begin CPR, (iii) check the patient's airway to make sure it is clear, (iv) place the victim on his\/her back, (v) check signs of life (coughing, breathing, or movement)."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Arrange in the correct order the following treatment steps for somebody who has lost consciousness: (i) call 911 or inform someone of the situation, (ii) begin CPR, (iii) check the patient's airway to make sure it is clear, (iv) place the victim on his\/her back, (v) check signs of life (coughing, breathing, or movement).",1.00,4.00,2.42,0.95,0.90,52

#,Answer,%,Count
1,"i, ii, iii, iv, v",7.69%,4
2,"v, iv, iii, i, ii",67.31%,35
3,"ii, iv, iii, v, i",0.00%,0
4,"iv, i, iii, v, ii",25.00%,13
,Total,100%,52

Q22 - What are the hormones that cause a plant to grow?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What are the hormones that cause a plant to grow?,1.00,4.00,2.58,1.38,1.91,24

#,Answer,%,Count
1,sporozoans,41.67%,10
2,pores,0.00%,0
3,pistills,16.67%,4
4,gibberellins,41.67%,10
,Total,100%,24

Q23 - What is the correct method for saving someone from choking?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is the correct method for saving someone from choking?,1.00,4.00,2.91,1.08,1.17,46

#,Answer,%,Count
1,Five abdominal thrusts followed by five back blows if needed,19.57%,9
2,Back blows only,4.35%,2
3,Abdominal thrusts only,41.30%,19
4,Five back blows followed by five abdominal thrusts if necessary,34.78%,16
,Total,100%,46

"Q24 - True or false: when someone swallows a chemical, immediately have the person drink water and then induce vomiting."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"True or false: when someone swallows a chemical, immediately have the person drink water and then induce vomiting.",1.00,2.00,1.68,0.47,0.22,44

#,Answer,%,Count
1,True,31.82%,14
2,False,68.18%,30
,Total,100%,44

Q25 - What is a symptom of a heatstroke?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is a symptom of a heatstroke?,2.00,5.00,4.77,0.64,0.41,60

#,Answer,%,Count
1,Rapid strong pulse,0.00%,0
2,Hallucinations,3.33%,2
3,Throbbing headache,1.67%,1
4,High body temperature,10.00%,6
5,"Rapid strong pulse, hallucinations, throbbing headache, and high body temperature",85.00%,51
,Total,100%,60

Q26 - Sensory nerves carry nerve impulses from sensory receptors to what system?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Sensory nerves carry nerve impulses from sensory receptors to what system?,1.00,4.00,3.81,0.71,0.50,58

#,Answer,%,Count
1,muscular system,5.17%,3
2,endocrine system,1.72%,1
3,irculatory system,0.00%,0
4,central nervous system,93.10%,54
,Total,100%,58

Q27 - Organisms that live deep in the ocean must be able to withstand what?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Organisms that live deep in the ocean must be able to withstand what?,2.00,4.00,3.70,0.71,0.51,67

#,Answer,%,Count
1,the sun,0.00%,0
2,significant water pressure,14.93%,10
3,tsunamis,0.00%,0
4,extreme water pressure,85.07%,57
,Total,100%,67

Q28 - How long can high-acid canned food such as tomatoes be stored?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,How long can high-acid canned food such as tomatoes be stored?,1.00,4.00,2.27,1.42,2.02,33

#,Answer,%,Count
1,2 to 4 years,51.52%,17
2,2 to 6 months,9.09%,3
3,10 to 30 days,0.00%,0
4,12 to 18 months,39.39%,13
,Total,100%,33

"Q29 - Temperature, water, soil, and air are examples of nonliving factors of an ecosystem, also termed what?"
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Temperature, water, soil, and air are examples of nonliving factors of an ecosystem, also termed what?",2.00,4.00,3.23,0.96,0.92,40

#,Answer,%,Count
1,nucleic factors,0.00%,0
2,conditional factors,37.50%,15
3,diverse factors,2.50%,1
4,abiotic factors,60.00%,24
,Total,100%,40

Q30 - What should you do if you are unable to evacuate a burning building?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What should you do if you are unable to evacuate a burning building?,1.00,4.00,3.54,1.03,1.06,59

#,Answer,%,Count
1,Open the doors and windows to let the smoke out,11.86%,7
2,Break windows,5.08%,3
3,Breathe through your mouth,0.00%,0
4,Stay low under the smoke,83.05%,49
,Total,100%,59

Q31 - To what does the acronym SLM refer?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,To what does the acronym SLM refer?,1.00,4.00,2.50,1.37,1.88,16

#,Answer,%,Count
1,Service Lifecycle Management,37.50%,6
2,System Level Monitor,18.75%,3
3,Sound Loudness Methods,0.00%,0
4,Sound Level Meter,43.75%,7
,Total,100%,16

Q32 - The Erie Canal's completion caused _____ economic ripples; property values and industrial output along its route rose exponentially.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,The Erie Canal's completion caused _____ economic ripples; property values and industrial output along its route rose exponentially.,1.00,5.00,3.77,1.45,2.11,57

#,Answer,%,Count
1,persistent,8.77%,5
2,invaluable,19.30%,11
3,incredulous,8.77%,5
4,severe,12.28%,7
5,prodigious,50.88%,29
,Total,100%,57

Q33 - True or false: the primary function of a fire door is to exit a building in case of fire.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,True or false: the primary function of a fire door is to exit a building in case of fire.,1.00,2.00,1.32,0.47,0.22,66

#,Answer,%,Count
1,True,68.18%,45
2,False,31.82%,21
,Total,100%,66

Q34 - How often should women perform a breast self-exam?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,How often should women perform a breast self-exam?,1.00,4.00,3.29,1.19,1.42,51

#,Answer,%,Count
1,yearly,19.61%,10
2,weekly,1.96%,1
3,quarterly,7.84%,4
4,monthly,70.59%,36
,Total,100%,51

"Q35 - Possessing few natural resources upon its newly-granted independence in 1863, Singapore remained economically _____ until an influx of industrialization and foreign investment took hold there."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Possessing few natural resources upon its newly-granted independence in 1863, Singapore remained economically _____ until an influx of industrialization and foreign investment took hold there.",2.00,5.00,4.65,0.77,0.59,55

#,Answer,%,Count
1,powerful,0.00%,0
2,prosperous,1.82%,1
3,solvent,12.73%,7
4,fortuitous,3.64%,2
5,dubious,81.82%,45
,Total,100%,55

"Q36 - In psychological literature, the ""sleeper effect"" refers to the phenomenon in which a persuasive message from a trustworthy source loses _____ over time, while the efficacy of a message from a less credible source simultaneously increases."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"In psychological literature, the &quot;sleeper effect&quot; refers to the phenomenon in which a persuasive message from a trustworthy source loses _____ over time, while the efficacy of a message from a less credible source simultaneously increases.",1.00,5.00,3.78,1.59,2.51,41

#,Answer,%,Count
1,prescience,19.51%,8
2,erudition,7.32%,3
3,evasiveness,0.00%,0
4,control,21.95%,9
5,cogency,51.22%,21
,Total,100%,41

Q37 - What are the little sacs at the end of the bronchioles called?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What are the little sacs at the end of the bronchioles called?,2.00,4.00,3.75,0.63,0.40,48

#,Answer,%,Count
1,lung,0.00%,0
2,respiratory sacs,10.42%,5
3,ganglion,4.17%,2
4,alveoli,85.42%,41
,Total,100%,48

Q38 - What broad animal group is thought to have evolved from theropod dinosaurs around 150 million years ago?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What broad animal group is thought to have evolved from theropod dinosaurs around 150 million years ago?,1.00,4.00,3.50,0.70,0.49,42

#,Answer,%,Count
1,insects,2.38%,1
2,mammals,4.76%,2
3,reptiles,33.33%,14
4,birds,59.52%,25
,Total,100%,42

"Q39 - Many dog owners treat their pets too _____ , forgetting that canines have evolved in competitive environments in which emotional coddling was a sign of weakness."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Many dog owners treat their pets too _____ , forgetting that canines have evolved in competitive environments in which emotional coddling was a sign of weakness.",1.00,5.00,4.72,0.91,0.84,60

#,Answer,%,Count
1,aggressively,3.33%,2
2,quixotically,3.33%,2
3,fortuitously,1.67%,1
4,belligerently,1.67%,1
5,indulgently,90.00%,54
,Total,100%,60

"Q40 - When your brain senses that your body temperature is increasing, it sends messages to the blood vessels in the skin to increase in what?"
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"When your brain senses that your body temperature is increasing, it sends messages to the blood vessels in the skin to increase in what?",1.00,4.00,3.72,0.84,0.71,47

#,Answer,%,Count
1,surface,8.51%,4
2,height,0.00%,0
3,weight,2.13%,1
4,diameter,89.36%,42
,Total,100%,47

"Q41 - What arises due to crossing over, independent assortment, and the random union of gametes?"
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"What arises due to crossing over, independent assortment, and the random union of gametes?",1.00,4.00,3.68,0.76,0.58,28

#,Answer,%,Count
1,susceptible variation,3.57%,1
2,recessive variation,7.14%,2
3,alternative variation,7.14%,2
4,genetic variation,82.14%,23
,Total,100%,28

"Q42 - When using a ladder to climb a roof, the ladder must extend at least___ above it."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"When using a ladder to climb a roof, the ladder must extend at least___ above it.",1.00,4.00,2.47,1.14,1.31,17

#,Answer,%,Count
1,18,23.53%,4
2,24,35.29%,6
3,30,11.76%,2
4,36,29.41%,5
,Total,100%,17

Q43 - Voters have become so inured to the fickle nature of politicians that they responded to the levy of a new tax with _____ .
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Voters have become so inured to the fickle nature of politicians that they responded to the levy of a new tax with _____ .,1.00,5.00,3.53,1.46,2.13,49

#,Answer,%,Count
1,amazement,4.08%,2
2,exasperation,36.73%,18
3,alarm,6.12%,3
4,perplexity,8.16%,4
5,stolidity,44.90%,22
,Total,100%,49

Q44 - What should you NOT do while treating cuts and scrapes?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What should you NOT do while treating cuts and scrapes?,1.00,4.00,3.46,0.76,0.57,37

#,Answer,%,Count
1,Apply pressure on the wound with a clean cloth or bandage,2.70%,1
2,Apply an antibiotic to the wound,8.11%,3
3,Cover the wound,29.73%,11
4,Wash the wound with soap,59.46%,22
,Total,100%,37

"Q45 - True or false: you can always smell, see, or taste harmful bacteria in food that can cause illness."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"True or false: you can always smell, see, or taste harmful bacteria in food that can cause illness.",1.00,2.00,1.99,0.12,0.01,67

#,Answer,%,Count
1,True,1.49%,1
2,False,98.51%,66
,Total,100%,67

Q46 - Most insects reproduce quickly and through what type of reproduction?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Most insects reproduce quickly and through what type of reproduction?,3.00,4.00,3.49,0.50,0.25,49

#,Answer,%,Count
1,spores,0.00%,0
2,photosynthesis,0.00%,0
3,asexual reproduction,51.02%,25
4,sexual reproduction,48.98%,24
,Total,100%,49

"Q47 - Although magma once filled our moon's craters, what is thought to have ended there over a billion years ago?"
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Although magma once filled our moon's craters, what is thought to have ended there over a billion years ago?",2.00,4.00,3.73,0.68,0.47,52

#,Answer,%,Count
1,mineral activity,0.00%,0
2,oceanic activity,13.46%,7
3,deserts activity,0.00%,0
4,volcanic activity,86.54%,45
,Total,100%,52

"Q48 - Everyone is at a risk of contracting a food-borne illness. However, who are at a greater risk of falling ill or even dying of infection?"
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Everyone is at a risk of contracting a food-borne illness. However, who are at a greater risk of falling ill or even dying of infection?",3.00,4.00,3.92,0.26,0.07,66

#,Answer,%,Count
1,Infants,0.00%,0
2,Pregnant women,0.00%,0
3,"People with weakened immune systems (those with HIV\AIDS, cancer, diabetes etc.)",7.58%,5
4,"Infants, pregnant women, and people with weakened immune systems",92.42%,61
,Total,100%,66

"Q49 - Despite the smile that spread from ear to ear, the eyes relayed a certain _____ ."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Despite the smile that spread from ear to ear, the eyes relayed a certain _____ .",1.00,5.00,4.67,0.97,0.95,66

#,Answer,%,Count
1,jubilance,1.52%,1
2,mischievousness,9.09%,6
3,vision,0.00%,0
4,liveliness,0.00%,0
5,sorrow,89.39%,59
,Total,100%,66

Q50 - The lithosphere is divided into a dozen major and several minor what?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,The lithosphere is divided into a dozen major and several minor what?,1.00,4.00,2.14,1.42,2.03,43

#,Answer,%,Count
1,zones,60.47%,26
2,crystals,0.00%,0
3,faults,4.65%,2
4,plates,34.88%,15
,Total,100%,43

Q51 - What does CERT stand for?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What does CERT stand for?,2.00,4.00,3.41,0.65,0.42,22

#,Answer,%,Count
1,Community Experimental Research Team,0.00%,0
2,Central Emergency Response Terminal,9.09%,2
3,Controlled Evacuation and Response Tactics,40.91%,9
4,Community Emergency Response Team,50.00%,11
,Total,100%,22

Q52 - What disease characterized by the extreme swelling of the limbs is caused by infection with a type of roundworm?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What disease characterized by the extreme swelling of the limbs is caused by infection with a type of roundworm?,1.00,4.00,3.64,0.69,0.47,33

#,Answer,%,Count
1,fibrosis,3.03%,1
2,gigantism,3.03%,1
3,pulmonary edema,21.21%,7
4,elephantiasis,72.73%,24
,Total,100%,33

"Q53 - Dolly Madison, the wife of President James Madison, was known especially for her _____ , remaining calm even as the British invaded Washington D.C. during the War of 1812."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Dolly Madison, the wife of President James Madison, was known especially for her _____ , remaining calm even as the British invaded Washington D.C. during the War of 1812.",1.00,5.00,4.20,1.36,1.84,51

#,Answer,%,Count
1,malevolence,3.92%,2
2,zeal,19.61%,10
3,cynicism,1.96%,1
4,impracticality,1.96%,1
5,equanimity,72.55%,37
,Total,100%,51

"Q54 - Prior to taking on the new invader, the defending army had engaged in arduous combat; it is likely that the _____ resulting from waging two battles in two days played a part in its subsequent defeat."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Prior to taking on the new invader, the defending army had engaged in arduous combat; it is likely that the _____ resulting from waging two battles in two days played a part in its subsequent defeat.",1.00,5.00,3.97,1.26,1.58,31

#,Answer,%,Count
1,bellicosity,9.68%,3
2,pugnacity,3.23%,1
3,pacification,12.90%,4
4,aggravation,29.03%,9
5,enervation,45.16%,14
,Total,100%,31

Q55 - While she may have answered him truthfully - in the strictest sense of the word - it became clear to Sergei after the incident that Sheryl had actually been trying to _____ .
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,While she may have answered him truthfully - in the strictest sense of the word - it became clear to Sergei after the incident that Sheryl had actually been trying to _____ .,2.00,5.00,4.84,0.64,0.41,51

#,Answer,%,Count
1,vituperate,0.00%,0
2,illuminate,3.92%,2
3,covet,1.96%,1
4,desiccate,0.00%,0
5,obfuscate,94.12%,48
,Total,100%,51

Q56 - True or false: wearing a back belt is a proven way to minimize the risk of back injury at work.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,True or false: wearing a back belt is a proven way to minimize the risk of back injury at work.,1.00,2.00,1.18,0.38,0.14,57

#,Answer,%,Count
1,True,82.46%,47
2,False,17.54%,10
,Total,100%,57

Q57 - What cells are the basis of nervous tissue?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What cells are the basis of nervous tissue?,2.00,4.00,3.89,0.39,0.15,36

#,Answer,%,Count
1,erythrocytes,0.00%,0
2,lipocytes,2.78%,1
3,osteoclasts,5.56%,2
4,neurons,91.67%,33
,Total,100%,36

Q58 - What are classified by climatic factors and types of primary producers?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What are classified by climatic factors and types of primary producers?,2.00,4.00,3.73,0.57,0.33,15

#,Answer,%,Count
1,equivalent biomes,0.00%,0
2,old biomes,6.67%,1
3,fossil biomes,13.33%,2
4,terrestrial biomes,80.00%,12
,Total,100%,15

Q59 - True or false: individuals who are lactose-intolerant can consume pasteurized milk without negative side effects.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,True or false: individuals who are lactose-intolerant can consume pasteurized milk without negative side effects.,1.00,2.00,1.96,0.19,0.03,56

#,Answer,%,Count
1,True,3.57%,2
2,False,96.43%,54
,Total,100%,56

Q60 - True or false: portable fire extinguishers should only be used by trained employees.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,True or false: portable fire extinguishers should only be used by trained employees.,1.00,2.00,1.34,0.47,0.22,50

#,Answer,%,Count
1,False,66.00%,33
2,True,34.00%,17
,Total,100%,50

SC0 - Score
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Score,61.00,156.00,100.76,18.59,345.50,70
