Default Report
Last Modified: 2018-08-21 21:57:23 MDT


"Q1 - With a similar contrast between a partly cloudy sky and a dark street, the cover of the recent rock CD _____ a famous surrealist painting from the early 1900s."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"With a similar contrast between a partly cloudy sky and a dark street, the cover of the recent rock CD _____ a famous surrealist painting from the early 1900s.",1.00,5.00,3.00,1.58,2.50,4

#,Answer,%,Count
"Q8 - Even though legislators claimed the Contagious Diseases Acts strengthened the nation, social purists argued the Acts _____ the nation's moral growth by encouraging licentious behavior."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Even though legislators claimed the Contagious Diseases Acts strengthened the nation, social purists argued the Acts _____ the nation's moral growth by encouraging licentious behavior.",2.00,5.00,4.25,1.30,1.69,4

#,Answer,%,Count
1,advanced,0.00%,0
2,ameliorated,25.00%,1
3,supplanted,0.00%,0
4,enhanced,0.00%,0
5,hampered,75.00%,3
,Total,100%,4

Q9 - To what does the acronym SLM refer?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,To what does the acronym SLM refer?,4.00,4.00,4.00,0.00,0.00,1

#,Answer,%,Count
1,Service Lifecycle Management,0.00%,0
2,System Level Monitor,0.00%,0
3,Sound Loudness Methods,0.00%,0
4,Sound Level Meter,100.00%,1
,Total,100%,1

"Q10 - What is a therian mammal in which the embryo is born at an early, immature stage?"
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"What is a therian mammal in which the embryo is born at an early, immature stage?",2.00,4.00,2.67,0.94,0.89,3

#,Answer,%,Count
1,rodent,0.00%,0
2,bat,66.67%,2
3,carnivore,0.00%,0
4,marsupial,33.33%,1
,Total,100%,3

Q11 - What kind of viscosity is found in long-chain hydrocarbons?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What kind of viscosity is found in long-chain hydrocarbons?,1.00,4.00,2.33,1.25,1.56,3

#,Answer,%,Count
1,increased viscosity,33.33%,1
2,low viscosity,33.33%,1
3,intense viscosity,0.00%,0
4,high viscousity,33.33%,1
,Total,100%,3

Q12 - What is a symptom of a heatstroke?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is a symptom of a heatstroke?,5.00,5.00,5.00,0.00,0.00,4

#,Answer,%,Count
1,Rapid strong pulse,0.00%,0
2,Hallucinations,0.00%,0
3,Throbbing headache,0.00%,0
4,High body temperature,0.00%,0
5,"Rapid strong pulse, hallucinations, throbbing headache, and high body temperature",100.00%,4
,Total,100%,4

Q13 - The defense attorney's _____ closing statement was not enough to sway the jurors in his client's favor; stirring words could not conceal the defendant's evident guilt.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,The defense attorney's _____ closing statement was not enough to sway the jurors in his client's favor; stirring words could not conceal the defendant's evident guilt.,3.00,5.00,4.50,0.87,0.75,4

#,Answer,%,Count
1,deceptive,0.00%,0
2,lengthy,0.00%,0
3,crafty,25.00%,1
4,impromptu,0.00%,0
5,eloquent,75.00%,3
,Total,100%,4

"Q14 - Though many _____ endlessly praised his work, Dan often wished for some honest criticism."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Though many _____ endlessly praised his work, Dan often wished for some honest criticism.",1.00,5.00,3.75,1.64,2.69,4

#,Answer,%,Count
1,pedants,25.00%,1
2,benefactors,0.00%,0
3,adversaries,0.00%,0
4,mavericks,25.00%,1
5,sycophants,50.00%,2
,Total,100%,4

Q15 - The electrode at which oxidation occurs is called the what?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,The electrode at which oxidation occurs is called the what?,2.00,4.00,3.00,1.00,1.00,4

#,Answer,%,Count
1,diode,0.00%,0
2,cathode,50.00%,2
3,calomel,0.00%,0
4,anode,50.00%,2
,Total,100%,4

"Q16 - Possessing few natural resources upon its newly-granted independence in 1863, Singapore remained economically _____ until an influx of industrialization and foreign investment took hold there."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Possessing few natural resources upon its newly-granted independence in 1863, Singapore remained economically _____ until an influx of industrialization and foreign investment took hold there.",5.00,5.00,5.00,0.00,0.00,3

#,Answer,%,Count
1,powerful,0.00%,0
2,prosperous,0.00%,0
3,solvent,0.00%,0
4,fortuitous,0.00%,0
5,dubious,100.00%,3
,Total,100%,3

Q17 - The hint shows a list of fire extinguisher types matched with surfaces on which they can be used. Which is the incorrect option?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,The hint shows a list of fire extinguisher types matched with surfaces on which they can be used. Which is the incorrect option?,0.00,0.00,0.00,0.00,0.00,0

#,Answer,%,Count
1,"Class A - Cloth, wood, paper, and rubber",0.00%,0
2,"Class C - Wiring, fuse boxes, electrical equipment, and computers",0.00%,0
3,"Class D - Combustible metals such as magnesium, potassium, titanium, and sodium",0.00%,0
4,Class K - Cooking fluids such as fats and oils,0.00%,0
5,"Class B - Plastics, polyethylene, styrofoam",0.00%,0
,Total,100%,0

Q18 - What living species of bird is considered the largest of the raptors?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What living species of bird is considered the largest of the raptors?,0.00,0.00,0.00,0.00,0.00,0

#,Answer,%,Count
1,California condor,0.00%,0
2,peregrine falcon,0.00%,0
3,pterodactyl,0.00%,0
4,golden eagles,0.00%,0
,Total,100%,0

Q19 - First aid treatment for a chemical burn involves what?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,First aid treatment for a chemical burn involves what?,3.00,4.00,3.75,0.43,0.19,4

#,Answer,%,Count
1,Applying ointment over the affected area,0.00%,0
2,Removing dead skin,0.00%,0
3,Neutralizing the chemical,25.00%,1
4,"Flushing the chemicals off the affected area with cool, gently running water for 10 to 20 minutes",75.00%,3
,Total,100%,4

Q22 - Although his latest project was relatively _____ - little more than a few basic plot points scribbled on a napkin - the veteran screenwriter easily sold the story to a major Hollywood studio.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Although his latest project was relatively _____ - little more than a few basic plot points scribbled on a napkin - the veteran screenwriter easily sold the story to a major Hollywood studio.,5.00,5.00,5.00,0.00,0.00,3

#,Answer,%,Count
1,polished,0.00%,0
2,convoluted,0.00%,0
3,prosaic,0.00%,0
4,tortuous,0.00%,0
5,undeveloped,100.00%,3
,Total,100%,3

"Q23 - Despite what _____ philosophies of child-rearing suggest, there is no imperative that the day-to-day action of raising a child be simple, unambiguous and unchanging-no requirement, in other words, ensures that life follow philosophy."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Despite what _____ philosophies of child-rearing suggest, there is no imperative that the day-to-day action of raising a child be simple, unambiguous and unchanging-no requirement, in other words, ensures that life follow philosophy.",3.00,5.00,4.50,0.87,0.75,4

#,Answer,%,Count
1,inexact,0.00%,0
2,aggressive,0.00%,0
3,random,25.00%,1
4,shameless,0.00%,0
5,systematic,75.00%,3
,Total,100%,4

"Q24 - If your co-worker needs CPR but you are not trained in it, what should you do?"
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"If your co-worker needs CPR but you are not trained in it, what should you do?",2.00,3.00,2.25,0.43,0.19,4

#,Answer,%,Count
1,Give rescue breaths only,0.00%,0
2,Wait for emergency personnel to arrive,75.00%,3
3,Lift the patient's head,25.00%,1
4,Perform chest compressions only,0.00%,0
,Total,100%,4

Q25 - What broad animal group is thought to have evolved from theropod dinosaurs around 150 million years ago?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What broad animal group is thought to have evolved from theropod dinosaurs around 150 million years ago?,1.00,4.00,3.25,1.30,1.69,4

#,Answer,%,Count
1,insects,25.00%,1
2,mammals,0.00%,0
3,reptiles,0.00%,0
4,birds,75.00%,3
,Total,100%,4

Q26 - What type of bonds are formed by the side-to-side overlap of p orbitals?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What type of bonds are formed by the side-to-side overlap of p orbitals?,4.00,4.00,4.00,0.00,0.00,2

#,Answer,%,Count
1,sigma bonds,0.00%,0
2,omega bonds,0.00%,0
3,theta bonds,0.00%,0
4,pi bonds,100.00%,2
,Total,100%,2

Q27 - Nerve cells that sense touch are found mainly where?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Nerve cells that sense touch are found mainly where?,2.00,4.00,3.33,0.94,0.89,3

#,Answer,%,Count
1,stomach,0.00%,0
2,brain,33.33%,1
3,lungs,0.00%,0
4,skin,66.67%,2
,Total,100%,3

Q28 - At what water temperature should you bathe frostbitten skin?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,At what water temperature should you bathe frostbitten skin?,2.00,4.00,3.33,0.94,0.89,3

#,Answer,%,Count
1,At 32 F (0 C),0.00%,0
2,Between 120 to 150 F (50 to 70 C),33.33%,1
3,You should never submerge frostbite into water,0.00%,0
4,Between 104 to 107.6 F (40 to 42 C),66.67%,2
,Total,100%,3

"Q29 - Modern tennis fans have come to realize that, although, quantum technological leaps in racquet technology have lead to _____ increases in the speed and power with which players can hit the ball, this has not necessarily lead to a more entertaining game."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Modern tennis fans have come to realize that, although, quantum technological leaps in racquet technology have lead to _____ increases in the speed and power with which players can hit the ball, this has not necessarily lead to a more entertaining game.",3.00,5.00,4.33,0.94,0.89,3

#,Answer,%,Count
1,innocuous,0.00%,0
2,halcyon,0.00%,0
3,malleable,33.33%,1
4,tractable,0.00%,0
5,commensurate,66.67%,2
,Total,100%,3

"Q30 - Because he ate high-calorie snacks while riding the exercise bike, Julie ridiculed DeRay's workout philosophy as _____ ."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Because he ate high-calorie snacks while riding the exercise bike, Julie ridiculed DeRay's workout philosophy as _____ .",2.00,5.00,3.50,1.50,2.25,2

#,Answer,%,Count
1,pithy,0.00%,0
2,indolent,50.00%,1
3,hackneyed,0.00%,0
4,precarious,0.00%,0
5,fatuous,50.00%,1
,Total,100%,2

Q31 - What is the maximum amount of time perishable food should be left out?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is the maximum amount of time perishable food should be left out?,2.00,4.00,3.00,1.00,1.00,2

#,Answer,%,Count
1,1.5 hours,0.00%,0
2,3 hours,50.00%,1
3,3.5 hours,0.00%,0
4,2 hours,50.00%,1
,Total,100%,2

Q32 - What opens two strands of DNA?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What opens two strands of DNA?,1.00,4.00,3.00,1.22,1.50,4

#,Answer,%,Count
1,replication,25.00%,1
2,adenylate,0.00%,0
3,chromosome,25.00%,1
4,helicase,50.00%,2
,Total,100%,4

"Q33 - Just as different people can have very different personalities, so too can pets - even those of the same species and breed possess varied _____ ."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Just as different people can have very different personalities, so too can pets - even those of the same species and breed possess varied _____ .",3.00,5.00,4.00,1.00,1.00,2

#,Answer,%,Count
1,initiations,0.00%,0
2,implementations,0.00%,0
3,aptitudes,50.00%,1
4,rationalizations,0.00%,0
5,temperaments,50.00%,1
,Total,100%,2

Q34 - What is the most abundant metal of the earth's crust?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is the most abundant metal of the earth's crust?,2.00,4.00,3.33,0.94,0.89,3

#,Answer,%,Count
1,calcium,0.00%,0
2,copper,33.33%,1
3,magnetite,0.00%,0
4,aluminum,66.67%,2
,Total,100%,3

"Q35 - Although John F. Kennedy was known for his carefree flag football games, Gerald Ford should be _____ as our football president: he turned down offers to play for two National Football League teams in order to pursue a career in public service."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Although John F. Kennedy was known for his carefree flag football games, Gerald Ford should be _____ as our football president: he turned down offers to play for two National Football League teams in order to pursue a career in public service.",5.00,5.00,5.00,0.00,0.00,1

#,Answer,%,Count
1,relegated,0.00%,0
2,abrogated,0.00%,0
3,annulled,0.00%,0
4,criticized,0.00%,0
5,apotheosized,100.00%,1
,Total,100%,1

Q36 - Most fungi get organic compounds from what?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Most fungi get organic compounds from what?,4.00,4.00,4.00,0.00,0.00,3

#,Answer,%,Count
1,inorganic material,0.00%,0
2,living organisms,0.00%,0
3,carnivorous organisms,0.00%,0
4,dead organisms,100.00%,3
,Total,100%,3

"Q37 - Dismissed by the establishment, professing nothing but disdain for the canon, and yet beloved by his followers who trumpet his _____ opinions, the raffish pundit is laughing all the way to the bank."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Dismissed by the establishment, professing nothing but disdain for the canon, and yet beloved by his followers who trumpet his _____ opinions, the raffish pundit is laughing all the way to the bank.",2.00,4.00,3.00,1.00,1.00,2

#,Answer,%,Count
1,blithe,0.00%,0
2,inveterate,50.00%,1
3,meretricious,0.00%,0
4,meritless,50.00%,1
5,iconoclastic,0.00%,0
,Total,100%,2

"Q38 - True or false: if you wear a back belt, you can lift more weight than you could without a belt."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"True or false: if you wear a back belt, you can lift more weight than you could without a belt.",1.00,2.00,1.75,0.43,0.19,4

#,Answer,%,Count
1,True,25.00%,1
2,False,75.00%,3
,Total,100%,4

Q39 - What are by far the most common type of invertebrate?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What are by far the most common type of invertebrate?,4.00,4.00,4.00,0.00,0.00,3

#,Answer,%,Count
1,spiders,0.00%,0
2,crustaceans,0.00%,0
3,corals,0.00%,0
4,insects,100.00%,3
,Total,100%,3

Q41 - Susan _____ the theater; she bought tickets for all the shows put on by the local drama group.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Susan _____ the theater; she bought tickets for all the shows put on by the local drama group.,3.00,5.00,4.33,0.94,0.89,3

#,Answer,%,Count
1,abhorred,0.00%,0
2,owned,0.00%,0
3,loathed,33.33%,1
4,managed,0.00%,0
5,cherished,66.67%,2
,Total,100%,3

Q42 - Many Major League Baseball relief pitchers choose an electrifying theme song to play as they take the mound; the song _____ their fans and instills fear in their opponents.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Many Major League Baseball relief pitchers choose an electrifying theme song to play as they take the mound; the song _____ their fans and instills fear in their opponents.,1.00,5.00,2.67,1.70,2.89,3

#,Answer,%,Count
1,eviscerates,33.33%,1
2,enervates,33.33%,1
3,assuages,0.00%,0
4,pervades,0.00%,0
5,innervates,33.33%,1
,Total,100%,3

Q43 - Working on scaffold during winds above ____ miles per hour is prohibited by OSHA.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Working on scaffold during winds above ____ miles per hour is prohibited by OSHA.,4.00,4.00,4.00,0.00,0.00,2

#,Answer,%,Count
1,10,0.00%,0
2,25,0.00%,0
3,50,0.00%,0
4,40,100.00%,2
,Total,100%,2

Q44 - What should you NOT do while treating cuts and scrapes?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What should you NOT do while treating cuts and scrapes?,2.00,4.00,3.33,0.94,0.89,3

#,Answer,%,Count
1,Apply pressure on the wound with a clean cloth or bandage,0.00%,0
2,Apply an antibiotic to the wound,33.33%,1
3,Cover the wound,0.00%,0
4,Wash the wound with soap,66.67%,2
,Total,100%,3

Q45 - What are the hormones that cause a plant to grow?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What are the hormones that cause a plant to grow?,4.00,4.00,4.00,0.00,0.00,3

#,Answer,%,Count
1,sporozoans,0.00%,0
2,pores,0.00%,0
3,pistills,0.00%,0
4,gibberellins,100.00%,3
,Total,100%,3

Q46 - How do very massive stars end their lives?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,How do very massive stars end their lives?,1.00,4.00,3.00,1.41,2.00,3

#,Answer,%,Count
1,become super novas,33.33%,1
2,explode,0.00%,0
3,consumed by black hole,0.00%,0
4,become red supergiants,66.67%,2
,Total,100%,3

Q49 - What is the minimum distance that should separate a parked forklift from a railroad junction?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is the minimum distance that should separate a parked forklift from a railroad junction?,2.00,3.00,2.50,0.50,0.25,2

#,Answer,%,Count
1,5 feet,0.00%,0
2,15 feet,50.00%,1
3,25 feet,50.00%,1
4,8 feet,0.00%,0
,Total,100%,2

Q50 - True or false: individuals who are lactose-intolerant can consume pasteurized milk without negative side effects.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,True or false: individuals who are lactose-intolerant can consume pasteurized milk without negative side effects.,1.00,2.00,1.25,0.43,0.19,4

#,Answer,%,Count
1,True,75.00%,3
2,False,25.00%,1
,Total,100%,4

"Q51 - Despite her mentor's advice that she attempt to sound consistently _____ , the graduate student often resorted to using slang when presenting significant parts of her thesis, her habitual speech patterns overriding her years of learning."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Despite her mentor's advice that she attempt to sound consistently _____ , the graduate student often resorted to using slang when presenting significant parts of her thesis, her habitual speech patterns overriding her years of learning.",1.00,5.00,3.67,1.89,3.56,3

#,Answer,%,Count
1,lucid,33.33%,1
2,didactic,0.00%,0
3,panegyrical,0.00%,0
4,rational,0.00%,0
5,erudite,66.67%,2
,Total,100%,3

Q52 - What should you NOT do when lowering a load?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What should you NOT do when lowering a load?,1.00,4.00,2.50,1.50,2.25,2

#,Answer,%,Count
1,Keep the load close to your body,50.00%,1
2,Bend your knees,0.00%,0
3,"Twist your body, keep the load close, and bend your knees",0.00%,0
4,Twist your body,50.00%,1
,Total,100%,2

Q53 - One of social science's major themes is that of stability versus change; to what extent are individual personalities _____ yet different over time?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,One of social science's major themes is that of stability versus change; to what extent are individual personalities _____ yet different over time?,5.00,5.00,5.00,0.00,0.00,4

#,Answer,%,Count
1,transient,0.00%,0
2,maladjusted,0.00%,0
3,disturbed,0.00%,0
4,discreet,0.00%,0
5,static,100.00%,4
,Total,100%,4

"Q54 - Having squandered his life's savings on unprofitable business ventures, the _____ entrepreneur was forced to live in squalor."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Having squandered his life's savings on unprofitable business ventures, the _____ entrepreneur was forced to live in squalor.",3.00,5.00,4.50,0.87,0.75,4

#,Answer,%,Count
1,former,0.00%,0
2,unlikely,0.00%,0
3,perturbed,25.00%,1
4,eccentric,0.00%,0
5,insolvent,75.00%,3
,Total,100%,4

Q55 - The sternocleidomastoid is the major muscle that laterally flexes and rotates what?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,1.00,2.00,1.50,0.50,0.25,2

#,Answer,%,Count
1,tongue,50.00%,1
2,eye,50.00%,1
3,knee,0.00%,0
4,head,0.00%,0
,Total,100%,2

Q56 - Workplaces with a minimum of ____ employees need to have a written fire prevention program in place.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Workplaces with a minimum of ____ employees need to have a written fire prevention program in place.,2.00,3.00,2.50,0.50,0.25,2

#,Answer,%,Count
1,5,0.00%,0
2,20,50.00%,1
3,25,50.00%,1
4,11,0.00%,0
,Total,100%,2

Q57 - What is the term for the total kinetic energy of moving particles of matter?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is the term for the total kinetic energy of moving particles of matter?,2.00,4.00,2.50,0.87,0.75,4

#,Answer,%,Count
1,heavy energy,0.00%,0
2,mechanical energy,75.00%,3
3,Newton's energy,0.00%,0
4,thermal energy,25.00%,1
,Total,100%,4

"Q58 - What arises due to crossing over, independent assortment, and the random union of gametes?"
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"What arises due to crossing over, independent assortment, and the random union of gametes?",1.00,4.00,2.50,1.50,2.25,2

#,Answer,%,Count
1,susceptible variation,50.00%,1
2,recessive variation,0.00%,0
3,alternative variation,0.00%,0
4,genetic variation,50.00%,1
,Total,100%,2

"Q59 - Repulsed by _____ employees, the executive informed his staff that he preferred constructive criticism to calculated flattery."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Repulsed by _____ employees, the executive informed his staff that he preferred constructive criticism to calculated flattery.",5.00,5.00,5.00,0.00,0.00,2

#,Answer,%,Count
1,natty,0.00%,0
2,profligate,0.00%,0
3,rapacious,0.00%,0
4,sententious,0.00%,0
5,obsequious,100.00%,2
,Total,100%,2

Q60 - Which fire extinguishers are used to put out fires caused by flammable liquids?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Which fire extinguishers are used to put out fires caused by flammable liquids?,1.00,3.00,2.00,0.82,0.67,3

#,Answer,%,Count
1,Class A water fire extinguishers,33.33%,1
2,Class C dry chemical fire extinguisher,33.33%,1
3,Class B carbon dioxide fire extinguisher,33.33%,1
,Total,100%,3
