Default Report
Last Modified: 2018-09-08 10:27:54 MDT


"Q1 - Though many _____ endlessly praised his work, Dan often wished for some honest criticism."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Though many _____ endlessly praised his work, Dan often wished for some honest criticism.",1.00,5.00,4.46,1.15,1.33,35

#,Answer,%,Count
1,"Ancient generals, lacking modern technologies such as radio and satellite communication, often found that one of the most significant challenges in warfare was accurate _____ of the myriad of changes on the battlefield or in the campaign.",1.00,5.00,3.13,1.29,1.67,32

#,Answer,%,Count
1,fortification,18.75%,6
2,adulteration,3.13%,1
3,accretion,43.75%,14
4,adumbration,15.63%,5
5,appraisal,18.75%,6
,Total,100%,32

"Q14 - Dismissed by the establishment, professing nothing but disdain for the canon, and yet beloved by his followers who trumpet his _____ opinions, the raffish pundit is laughing all the way to the bank."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Dismissed by the establishment, professing nothing but disdain for the canon, and yet beloved by his followers who trumpet his _____ opinions, the raffish pundit is laughing all the way to the bank.",1.00,5.00,4.22,1.10,1.21,27

#,Answer,%,Count
1,blithe,7.41%,2
2,inveterate,0.00%,0
3,meretricious,7.41%,2
4,meritless,33.33%,9
5,iconoclastic,51.85%,14
,Total,100%,27

"Q15 - With a similar contrast between a partly cloudy sky and a dark street, the cover of the recent rock CD _____ a famous surrealist painting from the early 1900s."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"With a similar contrast between a partly cloudy sky and a dark street, the cover of the recent rock CD _____ a famous surrealist painting from the early 1900s.",1.00,5.00,3.92,1.53,2.35,36

#,Answer,%,Count
1,admires,11.11%,4
2,obfuscates,16.67%,6
3,disenchants,5.56%,2
4,sanctions,2.78%,1
5,evokes,63.89%,23
,Total,100%,36

"Q16 - Video game enthusiasts know that, while the astounding advances in technological innovation might increase the level of fun of the gaming experience, such a result is by no means _____ ."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Video game enthusiasts know that, while the astounding advances in technological innovation might increase the level of fun of the gaming experience, such a result is by no means _____ .",1.00,5.00,3.46,1.21,1.46,28

#,Answer,%,Count
1,desultory,7.14%,2
2,endemic,10.71%,3
3,salient,39.29%,11
4,seminal,14.29%,4
5,ineluctable,28.57%,8
,Total,100%,28

"Q17 - In 1770s colonial New England, Puritans _____ the celebration of Christmas, which they considered to be an odious reminder of the Pope's tyranny."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"In 1770s colonial New England, Puritans _____ the celebration of Christmas, which they considered to be an odious reminder of the Pope's tyranny.",2.00,5.00,4.24,1.12,1.27,37

#,Answer,%,Count
1,placated,0.00%,0
2,extolled,13.51%,5
3,circumscribed,13.51%,5
4,tempered,8.11%,3
5,repudiated,64.86%,24
,Total,100%,37

Q18 - The sternocleidomastoid is the major muscle that laterally flexes and rotates what?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,1.00,4.00,2.89,1.21,1.46,19

#,Answer,%,Count
1,tongue,21.05%,4
2,eye,15.79%,3
3,knee,15.79%,3
4,head,47.37%,9
,Total,100%,19

"Q19 - Arrange in the correct order the following treatment steps for somebody who has lost consciousness: (i) call 911 or inform someone of the situation, (ii) begin CPR, (iii) check the patient's airway to make sure it is clear, (iv) place the victim on his\/her back, (v) check signs of life (coughing, breathing, or movement)."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Arrange in the correct order the following treatment steps for somebody who has lost consciousness: (i) call 911 or inform someone of the situation, (ii) begin CPR, (iii) check the patient's airway to make sure it is clear, (iv) place the victim on his\/her back, (v) check signs of life (coughing, breathing, or movement).",1.00,4.00,2.51,1.00,0.99,35

#,Answer,%,Count
1,"i, ii, iii, iv, v",8.57%,3
2,"v, iv, iii, i, ii",60.00%,21
3,"ii, iv, iii, v, i",2.86%,1
4,"iv, i, iii, v, ii",28.57%,10
,Total,100%,35

Q20 - What are the hormones that cause a plant to grow?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What are the hormones that cause a plant to grow?,1.00,4.00,2.89,1.37,1.88,19

#,Answer,%,Count
1,sporozoans,31.58%,6
2,pores,5.26%,1
3,pistills,5.26%,1
4,gibberellins,57.89%,11
,Total,100%,19

Q21 - What is the correct method for saving someone from choking?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is the correct method for saving someone from choking?,1.00,4.00,2.48,1.36,1.85,25

#,Answer,%,Count
1,Five abdominal thrusts followed by five back blows if needed,44.00%,11
2,Back blows only,0.00%,0
3,Abdominal thrusts only,20.00%,5
4,Five back blows followed by five abdominal thrusts if necessary,36.00%,9
,Total,100%,25

Q22 - What is a symptom of a heatstroke?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is a symptom of a heatstroke?,1.00,5.00,4.72,0.98,0.95,32

#,Answer,%,Count
1,Rapid strong pulse,6.25%,2
2,Hallucinations,0.00%,0
3,Throbbing headache,0.00%,0
4,High body temperature,3.13%,1
5,"Rapid strong pulse, hallucinations, throbbing headache, and high body temperature",90.63%,29
,Total,100%,32

Q23 - Organisms that live deep in the ocean must be able to withstand what?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Organisms that live deep in the ocean must be able to withstand what?,2.00,4.00,3.70,0.71,0.51,40

#,Answer,%,Count
1,the sun,0.00%,0
2,significant water pressure,15.00%,6
3,tsunamis,0.00%,0
4,extreme water pressure,85.00%,34
,Total,100%,40

Q24 - How long can high-acid canned food such as tomatoes be stored?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,How long can high-acid canned food such as tomatoes be stored?,1.00,4.00,2.74,1.26,1.60,27

#,Answer,%,Count
1,2 to 4 years,25.93%,7
2,2 to 6 months,18.52%,5
3,10 to 30 days,11.11%,3
4,12 to 18 months,44.44%,12
,Total,100%,27

"Q25 - Temperature, water, soil, and air are examples of nonliving factors of an ecosystem, also termed what?"
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Temperature, water, soil, and air are examples of nonliving factors of an ecosystem, also termed what?",2.00,4.00,3.67,0.75,0.56,36

#,Answer,%,Count
1,nucleic factors,0.00%,0
2,conditional factors,16.67%,6
3,diverse factors,0.00%,0
4,abiotic factors,83.33%,30
,Total,100%,36

Q26 - What should you do if you are unable to evacuate a burning building?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What should you do if you are unable to evacuate a burning building?,1.00,4.00,3.58,0.95,0.89,40

#,Answer,%,Count
1,Open the doors and windows to let the smoke out,10.00%,4
2,Break windows,2.50%,1
3,Breathe through your mouth,7.50%,3
4,Stay low under the smoke,80.00%,32
,Total,100%,40

Q27 - To what does the acronym SLM refer?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,To what does the acronym SLM refer?,1.00,4.00,2.08,0.92,0.84,13

#,Answer,%,Count
1,Service Lifecycle Management,23.08%,3
2,System Level Monitor,61.54%,8
3,Sound Loudness Methods,0.00%,0
4,Sound Level Meter,15.38%,2
,Total,100%,13

Q28 - The Erie Canal's completion caused _____ economic ripples; property values and industrial output along its route rose exponentially.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,The Erie Canal's completion caused _____ economic ripples; property values and industrial output along its route rose exponentially.,1.00,5.00,3.97,1.26,1.59,37

#,Answer,%,Count
1,persistent,5.41%,2
2,invaluable,10.81%,4
3,incredulous,16.22%,6
4,severe,16.22%,6
5,prodigious,51.35%,19
,Total,100%,37

Q29 - True or false: the primary function of a fire door is to exit a building in case of fire.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,True or false: the primary function of a fire door is to exit a building in case of fire.,1.00,2.00,1.47,0.50,0.25,38

#,Answer,%,Count
1,True,52.63%,20
2,False,47.37%,18
,Total,100%,38

Q30 - How often should women perform a breast self-exam?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,How often should women perform a breast self-exam?,1.00,4.00,2.16,1.30,1.68,31

#,Answer,%,Count
1,yearly,48.39%,15
2,weekly,16.13%,5
3,quarterly,6.45%,2
4,monthly,29.03%,9
,Total,100%,31

"Q31 - Possessing few natural resources upon its newly-granted independence in 1863, Singapore remained economically _____ until an influx of industrialization and foreign investment took hold there."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Possessing few natural resources upon its newly-granted independence in 1863, Singapore remained economically _____ until an influx of industrialization and foreign investment took hold there.",1.00,5.00,3.68,1.24,1.53,38

#,Answer,%,Count
1,powerful,7.89%,3
2,prosperous,5.26%,2
3,solvent,34.21%,13
4,fortuitous,15.79%,6
5,dubious,36.84%,14
,Total,100%,38

"Q32 - In psychological literature, the ""sleeper effect"" refers to the phenomenon in which a persuasive message from a trustworthy source loses _____ over time, while the efficacy of a message from a less credible source simultaneously increases."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"In psychological literature, the &quot;sleeper effect&quot; refers to the phenomenon in which a persuasive message from a trustworthy source loses _____ over time, while the efficacy of a message from a less credible source simultaneously increases.",1.00,5.00,4.06,1.39,1.94,36

#,Answer,%,Count
1,prescience,11.11%,4
2,erudition,8.33%,3
3,evasiveness,2.78%,1
4,control,19.44%,7
5,cogency,58.33%,21
,Total,100%,36

Q33 - What are the little sacs at the end of the bronchioles called?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What are the little sacs at the end of the bronchioles called?,1.00,4.00,3.26,1.03,1.06,23

#,Answer,%,Count
1,lung,4.35%,1
2,respiratory sacs,30.43%,7
3,ganglion,0.00%,0
4,alveoli,65.22%,15
,Total,100%,23

Q34 - What broad animal group is thought to have evolved from theropod dinosaurs around 150 million years ago?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What broad animal group is thought to have evolved from theropod dinosaurs around 150 million years ago?,1.00,4.00,3.42,0.70,0.49,33

#,Answer,%,Count
1,insects,3.03%,1
2,mammals,3.03%,1
3,reptiles,42.42%,14
4,birds,51.52%,17
,Total,100%,33

"Q35 - Many dog owners treat their pets too _____ , forgetting that canines have evolved in competitive environments in which emotional coddling was a sign of weakness."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Many dog owners treat their pets too _____ , forgetting that canines have evolved in competitive environments in which emotional coddling was a sign of weakness.",1.00,5.00,4.53,0.97,0.93,38

#,Answer,%,Count
1,aggressively,2.63%,1
2,quixotically,5.26%,2
3,fortuitously,2.63%,1
4,belligerently,15.79%,6
5,indulgently,73.68%,28
,Total,100%,38

"Q36 - When your brain senses that your body temperature is increasing, it sends messages to the blood vessels in the skin to increase in what?"
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"When your brain senses that your body temperature is increasing, it sends messages to the blood vessels in the skin to increase in what?",1.00,4.00,2.83,1.46,2.14,36

#,Answer,%,Count
1,surface,38.89%,14
2,height,0.00%,0
3,weight,0.00%,0
4,diameter,61.11%,22
,Total,100%,36

"Q37 - What arises due to crossing over, independent assortment, and the random union of gametes?"
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"What arises due to crossing over, independent assortment, and the random union of gametes?",1.00,4.00,3.65,0.73,0.53,20

#,Answer,%,Count
1,susceptible variation,5.00%,1
2,recessive variation,0.00%,0
3,alternative variation,20.00%,4
4,genetic variation,75.00%,15
,Total,100%,20

"Q38 - When using a ladder to climb a roof, the ladder must extend at least___ above it."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"When using a ladder to climb a roof, the ladder must extend at least___ above it.",1.00,4.00,2.00,0.85,0.73,11

#,Answer,%,Count
1,18,27.27%,3
2,24,54.55%,6
3,30,9.09%,1
4,36,9.09%,1
,Total,100%,11

Q39 - Voters have become so inured to the fickle nature of politicians that they responded to the levy of a new tax with _____ .
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Voters have become so inured to the fickle nature of politicians that they responded to the levy of a new tax with _____ .,1.00,5.00,3.73,1.35,1.83,33

#,Answer,%,Count
1,amazement,3.03%,1
2,exasperation,24.24%,8
3,alarm,18.18%,6
4,perplexity,6.06%,2
5,stolidity,48.48%,16
,Total,100%,33

Q40 - What should you NOT do while treating cuts and scrapes?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What should you NOT do while treating cuts and scrapes?,1.00,4.00,3.21,0.89,0.80,38

#,Answer,%,Count
1,Apply pressure on the wound with a clean cloth or bandage,5.26%,2
2,Apply an antibiotic to the wound,15.79%,6
3,Cover the wound,31.58%,12
4,Wash the wound with soap,47.37%,18
,Total,100%,38

"Q41 - True or false: you can always smell, see, or taste harmful bacteria in food that can cause illness."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"True or false: you can always smell, see, or taste harmful bacteria in food that can cause illness.",1.00,2.00,1.95,0.22,0.05,39

#,Answer,%,Count
1,True,5.13%,2
2,False,94.87%,37
,Total,100%,39

Q42 - Most insects reproduce quickly and through what type of reproduction?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Most insects reproduce quickly and through what type of reproduction?,3.00,4.00,3.59,0.49,0.24,39

#,Answer,%,Count
1,spores,0.00%,0
2,photosynthesis,0.00%,0
3,asexual reproduction,41.03%,16
4,sexual reproduction,58.97%,23
,Total,100%,39

"Q43 - Although magma once filled our moon's craters, what is thought to have ended there over a billion years ago?"
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Although magma once filled our moon's craters, what is thought to have ended there over a billion years ago?",1.00,4.00,3.76,0.73,0.53,29

#,Answer,%,Count
1,mineral activity,3.45%,1
2,oceanic activity,6.90%,2
3,deserts activity,0.00%,0
4,volcanic activity,89.66%,26
,Total,100%,29

"Q44 - Despite the smile that spread from ear to ear, the eyes relayed a certain _____ ."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Despite the smile that spread from ear to ear, the eyes relayed a certain _____ .",1.00,5.00,4.14,1.36,1.84,36

#,Answer,%,Count
1,jubilance,8.33%,3
2,mischievousness,8.33%,3
3,vision,11.11%,4
4,liveliness,5.56%,2
5,sorrow,66.67%,24
,Total,100%,36

Q45 - The lithosphere is divided into a dozen major and several minor what?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,The lithosphere is divided into a dozen major and several minor what?,1.00,4.00,2.81,1.28,1.63,27

#,Answer,%,Count
1,zones,29.63%,8
2,crystals,3.70%,1
3,faults,22.22%,6
4,plates,44.44%,12
,Total,100%,27

Q46 - What does CERT stand for?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What does CERT stand for?,2.00,4.00,3.06,0.78,0.61,18

#,Answer,%,Count
1,Community Experimental Research Team,0.00%,0
2,Central Emergency Response Terminal,27.78%,5
3,Controlled Evacuation and Response Tactics,38.89%,7
4,Community Emergency Response Team,33.33%,6
,Total,100%,18

Q47 - What disease characterized by the extreme swelling of the limbs is caused by infection with a type of roundworm?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What disease characterized by the extreme swelling of the limbs is caused by infection with a type of roundworm?,1.00,4.00,3.35,1.19,1.40,17

#,Answer,%,Count
1,fibrosis,17.65%,3
2,gigantism,5.88%,1
3,pulmonary edema,0.00%,0
4,elephantiasis,76.47%,13
,Total,100%,17

"Q48 - Dolly Madison, the wife of President James Madison, was known especially for her _____ , remaining calm even as the British invaded Washington D.C. during the War of 1812."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Dolly Madison, the wife of President James Madison, was known especially for her _____ , remaining calm even as the British invaded Washington D.C. during the War of 1812.",1.00,5.00,4.38,1.45,2.11,32

#,Answer,%,Count
1,malevolence,15.63%,5
2,zeal,0.00%,0
3,cynicism,0.00%,0
4,impracticality,0.00%,0
5,equanimity,84.38%,27
,Total,100%,32

"Q49 - Prior to taking on the new invader, the defending army had engaged in arduous combat; it is likely that the _____ resulting from waging two battles in two days played a part in its subsequent defeat."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Prior to taking on the new invader, the defending army had engaged in arduous combat; it is likely that the _____ resulting from waging two battles in two days played a part in its subsequent defeat.",1.00,5.00,3.92,1.38,1.91,25

#,Answer,%,Count
1,bellicosity,8.00%,2
2,pugnacity,16.00%,4
3,pacification,4.00%,1
4,aggravation,20.00%,5
5,enervation,52.00%,13
,Total,100%,25

Q50 - While she may have answered him truthfully - in the strictest sense of the word - it became clear to Sergei after the incident that Sheryl had actually been trying to _____ .
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,While she may have answered him truthfully - in the strictest sense of the word - it became clear to Sergei after the incident that Sheryl had actually been trying to _____ .,1.00,5.00,3.74,1.56,2.43,34

#,Answer,%,Count
1,vituperate,17.65%,6
2,illuminate,2.94%,1
3,covet,23.53%,8
4,desiccate,0.00%,0
5,obfuscate,55.88%,19
,Total,100%,34

Q51 - True or false: wearing a back belt is a proven way to minimize the risk of back injury at work.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,True or false: wearing a back belt is a proven way to minimize the risk of back injury at work.,1.00,2.00,1.12,0.32,0.10,34

#,Answer,%,Count
1,True,88.24%,30
2,False,11.76%,4
,Total,100%,34

Q52 - What are classified by climatic factors and types of primary producers?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What are classified by climatic factors and types of primary producers?,1.00,4.00,3.69,0.77,0.59,16

#,Answer,%,Count
1,equivalent biomes,6.25%,1
2,old biomes,0.00%,0
3,fossil biomes,12.50%,2
4,terrestrial biomes,81.25%,13
,Total,100%,16

Q53 - True or false: individuals who are lactose-intolerant can consume pasteurized milk without negative side effects.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,True or false: individuals who are lactose-intolerant can consume pasteurized milk without negative side effects.,1.00,2.00,1.77,0.42,0.17,31

#,Answer,%,Count
1,True,22.58%,7
2,False,77.42%,24
,Total,100%,31

Q54 - True or false: portable fire extinguishers should only be used by trained employees.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,True or false: portable fire extinguishers should only be used by trained employees.,1.00,2.00,1.29,0.46,0.21,34

#,Answer,%,Count
1,False,70.59%,24
2,True,29.41%,10
,Total,100%,34

Q55 - What is the diffusion of water through a semipermeable membrane down its concentration gradient?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is the diffusion of water through a semipermeable membrane down its concentration gradient?,3.00,4.00,3.88,0.32,0.10,26

#,Answer,%,Count
1,nutrients,0.00%,0
2,mirrors,0.00%,0
3,permable,11.54%,3
4,osmosis,88.46%,23
,Total,100%,26

"Q56 - Now known as Administrative Professionals' Day, Secretaries' Day was created in 1952 by Harry F. Klemfuss, a public relations professional who _____ the value and significance of administrative assistants in order to attract more women to the profession."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Now known as Administrative Professionals' Day, Secretaries' Day was created in 1952 by Harry F. Klemfuss, a public relations professional who _____ the value and significance of administrative assistants in order to attract more women to the profession.",1.00,5.00,4.11,1.56,2.44,35

#,Answer,%,Count
1,proscribed,17.14%,6
2,refuted,2.86%,1
3,undermined,5.71%,2
4,admonished,0.00%,0
5,touted,74.29%,26
,Total,100%,35

"Q57 - Even though legislators claimed the Contagious Diseases Acts strengthened the nation, social purists argued the Acts _____ the nation's moral growth by encouraging licentious behavior."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Even though legislators claimed the Contagious Diseases Acts strengthened the nation, social purists argued the Acts _____ the nation's moral growth by encouraging licentious behavior.",1.00,5.00,4.19,1.37,1.88,36

#,Answer,%,Count
1,advanced,5.56%,2
2,ameliorated,16.67%,6
3,supplanted,2.78%,1
4,enhanced,2.78%,1
5,hampered,72.22%,26
,Total,100%,36

"Q58 - What is a therian mammal in which the embryo is born at an early, immature stage?"
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"What is a therian mammal in which the embryo is born at an early, immature stage?",1.00,4.00,2.87,1.26,1.58,15

#,Answer,%,Count
1,rodent,20.00%,3
2,bat,26.67%,4
3,carnivore,0.00%,0
4,marsupial,53.33%,8
,Total,100%,15

Q59 - What kind of viscosity is found in long-chain hydrocarbons?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What kind of viscosity is found in long-chain hydrocarbons?,1.00,4.00,3.06,1.06,1.11,17

#,Answer,%,Count
1,increased viscosity,5.88%,1
2,low viscosity,35.29%,6
3,intense viscosity,5.88%,1
4,high viscousity,52.94%,9
,Total,100%,17

Q60 - The defense attorney's _____ closing statement was not enough to sway the jurors in his client's favor; stirring words could not conceal the defendant's evident guilt.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,The defense attorney's _____ closing statement was not enough to sway the jurors in his client's favor; stirring words could not conceal the defendant's evident guilt.,1.00,5.00,3.41,1.57,2.48,34

#,Answer,%,Count
1,deceptive,20.59%,7
2,lengthy,5.88%,2
3,crafty,29.41%,10
4,impromptu,0.00%,0
5,eloquent,44.12%,15
,Total,100%,34

Q61 - The electrode at which oxidation occurs is called the what?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,The electrode at which oxidation occurs is called the what?,1.00,4.00,3.19,1.03,1.06,31

#,Answer,%,Count
1,diode,3.23%,1
2,cathode,35.48%,11
3,calomel,0.00%,0
4,anode,61.29%,19
,Total,100%,31

Q62 - The hint shows a list of fire extinguisher types matched with surfaces on which they can be used. Which is the incorrect option?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,The hint shows a list of fire extinguisher types matched with surfaces on which they can be used. Which is the incorrect option?,2.00,5.00,3.50,1.12,1.25,4

#,Answer,%,Count
1,"Class A - Cloth, wood, paper, and rubber",0.00%,0
2,"Class C - Wiring, fuse boxes, electrical equipment, and computers",25.00%,1
3,"Class D - Combustible metals such as magnesium, potassium, titanium, and sodium",25.00%,1
4,Class K - Cooking fluids such as fats and oils,25.00%,1
5,"Class B - Plastics, polyethylene, styrofoam",25.00%,1
