Default Report
Last Modified: 2018-08-19 16:37:29 MDT


"Q1 - With a similar contrast between a partly cloudy sky and a dark street, the cover of the recent rock CD _____ a famous surrealist painting from the early 1900s."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"With a similar contrast between a partly cloudy sky and a dark street, the cover of the recent rock CD _____ a famous surrealist painting from the early 1900s.",1.00,5.00,4.43,1.32,1.75,61

#,Answer,%,Count
1,insects,4.44%,2
2,mammals,4.44%,2
3,reptiles,31.11%,14
4,birds,60.00%,27
,Total,100%,45

Q26 - What type of bonds are formed by the side-to-side overlap of p orbitals?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What type of bonds are formed by the side-to-side overlap of p orbitals?,1.00,4.00,3.40,1.20,1.44,5

#,Answer,%,Count
1,sigma bonds,20.00%,1
2,omega bonds,0.00%,0
3,theta bonds,0.00%,0
4,pi bonds,80.00%,4
,Total,100%,5

Q27 - Nerve cells that sense touch are found mainly where?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Nerve cells that sense touch are found mainly where?,2.00,4.00,3.88,0.48,0.23,64

#,Answer,%,Count
1,stomach,0.00%,0
2,brain,6.25%,4
3,lungs,0.00%,0
4,skin,93.75%,60
,Total,100%,64

Q28 - At what water temperature should you bathe frostbitten skin?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,At what water temperature should you bathe frostbitten skin?,1.00,4.00,2.96,1.02,1.03,28

#,Answer,%,Count
1,At 32 F (0 C),17.86%,5
2,Between 120 to 150 F (50 to 70 C),0.00%,0
3,You should never submerge frostbite into water,50.00%,14
4,Between 104 to 107.6 F (40 to 42 C),32.14%,9
,Total,100%,28

"Q29 - Modern tennis fans have come to realize that, although, quantum technological leaps in racquet technology have lead to _____ increases in the speed and power with which players can hit the ball, this has not necessarily lead to a more entertaining game."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Modern tennis fans have come to realize that, although, quantum technological leaps in racquet technology have lead to _____ increases in the speed and power with which players can hit the ball, this has not necessarily lead to a more entertaining game.",1.00,5.00,4.42,1.02,1.03,43

#,Answer,%,Count
1,innocuous,4.65%,2
2,halcyon,2.33%,1
3,malleable,4.65%,2
4,tractable,23.26%,10
5,commensurate,65.12%,28
,Total,100%,43

"Q30 - Because he ate high-calorie snacks while riding the exercise bike, Julie ridiculed DeRay's workout philosophy as _____ ."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Because he ate high-calorie snacks while riding the exercise bike, Julie ridiculed DeRay's workout philosophy as _____ .",1.00,5.00,3.74,1.21,1.47,39

#,Answer,%,Count
1,pithy,5.13%,2
2,indolent,7.69%,3
3,hackneyed,35.90%,14
4,precarious,10.26%,4
5,fatuous,41.03%,16
,Total,100%,39

Q31 - What is the maximum amount of time perishable food should be left out?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is the maximum amount of time perishable food should be left out?,1.00,4.00,2.69,1.39,1.93,35

#,Answer,%,Count
1,1.5 hours,34.29%,12
2,3 hours,14.29%,5
3,3.5 hours,0.00%,0
4,2 hours,51.43%,18
,Total,100%,35

Q32 - What opens two strands of DNA?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What opens two strands of DNA?,1.00,4.00,2.61,1.37,1.89,23

#,Answer,%,Count
1,replication,39.13%,9
2,adenylate,4.35%,1
3,chromosome,13.04%,3
4,helicase,43.48%,10
,Total,100%,23

"Q33 - Just as different people can have very different personalities, so too can pets - even those of the same species and breed possess varied _____ ."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Just as different people can have very different personalities, so too can pets - even those of the same species and breed possess varied _____ .",3.00,5.00,4.97,0.25,0.06,63

#,Answer,%,Count
1,initiations,0.00%,0
2,implementations,0.00%,0
3,aptitudes,1.59%,1
4,rationalizations,0.00%,0
5,temperaments,98.41%,62
,Total,100%,63

Q34 - What is the most abundant metal of the earth's crust?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is the most abundant metal of the earth's crust?,1.00,4.00,3.20,1.10,1.21,40

#,Answer,%,Count
1,calcium,10.00%,4
2,copper,22.50%,9
3,magnetite,5.00%,2
4,aluminum,62.50%,25
,Total,100%,40

"Q35 - Although John F. Kennedy was known for his carefree flag football games, Gerald Ford should be _____ as our football president: he turned down offers to play for two National Football League teams in order to pursue a career in public service."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Although John F. Kennedy was known for his carefree flag football games, Gerald Ford should be _____ as our football president: he turned down offers to play for two National Football League teams in order to pursue a career in public service.",1.00,5.00,2.86,1.83,3.36,42

#,Answer,%,Count
1,relegated,45.24%,19
2,abrogated,2.38%,1
3,annulled,11.90%,5
4,criticized,2.38%,1
5,apotheosized,38.10%,16
,Total,100%,42

Q36 - Most fungi get organic compounds from what?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Most fungi get organic compounds from what?,1.00,4.00,3.61,0.91,0.83,44

#,Answer,%,Count
1,inorganic material,6.82%,3
2,living organisms,9.09%,4
3,carnivorous organisms,0.00%,0
4,dead organisms,84.09%,37
,Total,100%,44

"Q37 - Dismissed by the establishment, professing nothing but disdain for the canon, and yet beloved by his followers who trumpet his _____ opinions, the raffish pundit is laughing all the way to the bank."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Dismissed by the establishment, professing nothing but disdain for the canon, and yet beloved by his followers who trumpet his _____ opinions, the raffish pundit is laughing all the way to the bank.",1.00,5.00,4.04,1.08,1.17,46

#,Answer,%,Count
1,blithe,6.52%,3
2,inveterate,4.35%,2
3,meretricious,4.35%,2
4,meritless,47.83%,22
5,iconoclastic,36.96%,17
,Total,100%,46

"Q38 - True or false: if you wear a back belt, you can lift more weight than you could without a belt."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"True or false: if you wear a back belt, you can lift more weight than you could without a belt.",1.00,2.00,1.76,0.42,0.18,55

#,Answer,%,Count
1,True,23.64%,13
2,False,76.36%,42
,Total,100%,55

Q39 - What are by far the most common type of invertebrate?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What are by far the most common type of invertebrate?,2.00,4.00,3.61,0.76,0.58,41

#,Answer,%,Count
1,spiders,0.00%,0
2,crustaceans,17.07%,7
3,corals,4.88%,2
4,insects,78.05%,32
,Total,100%,41

Q40 - Organisms that live deep in the ocean must be able to withstand what?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Organisms that live deep in the ocean must be able to withstand what?,2.00,4.00,3.69,0.72,0.52,65

#,Answer,%,Count
1,the sun,0.00%,0
2,significant water pressure,15.38%,10
3,tsunamis,0.00%,0
4,extreme water pressure,84.62%,55
,Total,100%,65

Q41 - Susan _____ the theater; she bought tickets for all the shows put on by the local drama group.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Susan _____ the theater; she bought tickets for all the shows put on by the local drama group.,5.00,5.00,5.00,0.00,0.00,67

#,Answer,%,Count
1,abhorred,0.00%,0
2,owned,0.00%,0
3,loathed,0.00%,0
4,managed,0.00%,0
5,cherished,100.00%,67
,Total,100%,67

Q42 - Many Major League Baseball relief pitchers choose an electrifying theme song to play as they take the mound; the song _____ their fans and instills fear in their opponents.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Many Major League Baseball relief pitchers choose an electrifying theme song to play as they take the mound; the song _____ their fans and instills fear in their opponents.,2.00,5.00,3.00,1.34,1.80,40

#,Answer,%,Count
1,eviscerates,0.00%,0
2,enervates,60.00%,24
3,assuages,10.00%,4
4,pervades,0.00%,0
5,innervates,30.00%,12
,Total,100%,40

Q43 - Working on scaffold during winds above ____ miles per hour is prohibited by OSHA.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Working on scaffold during winds above ____ miles per hour is prohibited by OSHA.,1.00,4.00,2.54,1.01,1.02,13

#,Answer,%,Count
1,10,7.69%,1
2,25,61.54%,8
3,50,0.00%,0
4,40,30.77%,4
,Total,100%,13

Q44 - What should you NOT do while treating cuts and scrapes?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What should you NOT do while treating cuts and scrapes?,1.00,4.00,3.50,0.73,0.53,36

#,Answer,%,Count
1,Apply pressure on the wound with a clean cloth or bandage,2.78%,1
2,Apply an antibiotic to the wound,5.56%,2
3,Cover the wound,30.56%,11
4,Wash the wound with soap,61.11%,22
,Total,100%,36

Q45 - What are the hormones that cause a plant to grow?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What are the hormones that cause a plant to grow?,1.00,4.00,2.61,1.37,1.89,23

#,Answer,%,Count
1,sporozoans,39.13%,9
2,pores,4.35%,1
3,pistills,13.04%,3
4,gibberellins,43.48%,10
,Total,100%,23

Q46 - How do very massive stars end their lives?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,How do very massive stars end their lives?,1.00,4.00,1.67,1.02,1.03,42

#,Answer,%,Count
1,become super novas,61.90%,26
2,explode,21.43%,9
3,consumed by black hole,4.76%,2
4,become red supergiants,11.90%,5
,Total,100%,42

Q47 - Where should you aim a fire extinguisher nozzle when putting out a fire?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Where should you aim a fire extinguisher nozzle when putting out a fire?,1.00,4.00,3.86,0.61,0.37,57

#,Answer,%,Count
1,At the top of the fire,3.51%,2
2,At the center of the fire,1.75%,1
3,Away from the fire,0.00%,0
4,At the base of the fire,94.74%,54
,Total,100%,57

"Q48 - Arrange in the correct order the following treatment steps for somebody who has lost consciousness: (i) call 911 or inform someone of the situation, (ii) begin CPR, (iii) check the patient's airway to make sure it is clear, (iv) place the victim on his/her back, (v) check signs of life (coughing, breathing, or movement)."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Arrange in the correct order the following treatment steps for somebody who has lost consciousness: (i) call 911 or inform someone of the situation, (ii) begin CPR, (iii) check the patient's airway to make sure it is clear, (iv) place the victim on his/her back, (v) check signs of life (coughing, breathing, or movement).",1.00,4.00,2.41,0.88,0.77,49

#,Answer,%,Count
1,"i, ii, iii, iv, v",4.08%,2
2,"v, iv, iii, i, ii",73.47%,36
3,"ii, iv, iii, v, i",0.00%,0
4,"iv, i, iii, v, ii",22.45%,11
,Total,100%,49

Q49 - What is the minimum distance that should separate a parked forklift from a railroad junction?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is the minimum distance that should separate a parked forklift from a railroad junction?,1.00,4.00,3.00,1.10,1.20,5

#,Answer,%,Count
1,5 feet,20.00%,1
2,15 feet,0.00%,0
3,25 feet,40.00%,2
4,8 feet,40.00%,2
,Total,100%,5

Q50 - True or false: individuals who are lactose-intolerant can consume pasteurized milk without negative side effects.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,True or false: individuals who are lactose-intolerant can consume pasteurized milk without negative side effects.,1.00,2.00,1.98,0.13,0.02,56

#,Answer,%,Count
1,True,1.79%,1
2,False,98.21%,55
,Total,100%,56

"Q51 - Despite her mentor's advice that she attempt to sound consistently _____ , the graduate student often resorted to using slang when presenting significant parts of her thesis, her habitual speech patterns overriding her years of learning."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Despite her mentor's advice that she attempt to sound consistently _____ , the graduate student often resorted to using slang when presenting significant parts of her thesis, her habitual speech patterns overriding her years of learning.",1.00,5.00,4.23,1.22,1.48,43

#,Answer,%,Count
1,lucid,4.65%,2
2,didactic,11.63%,5
3,panegyrical,2.33%,1
4,rational,18.60%,8
5,erudite,62.79%,27
,Total,100%,43

Q52 - What should you NOT do when lowering a load?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What should you NOT do when lowering a load?,1.00,4.00,3.84,0.57,0.33,51

#,Answer,%,Count
1,Keep the load close to your body,1.96%,1
2,Bend your knees,3.92%,2
3,"Twist your body, keep the load close, and bend your knees",1.96%,1
4,Twist your body,92.16%,47
,Total,100%,51

Q53 - One of social science's major themes is that of stability versus change; to what extent are individual personalities _____ yet different over time?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,One of social science's major themes is that of stability versus change; to what extent are individual personalities _____ yet different over time?,1.00,5.00,4.72,0.96,0.92,58

#,Answer,%,Count
1,transient,5.17%,3
2,maladjusted,1.72%,1
3,disturbed,0.00%,0
4,discreet,1.72%,1
5,static,91.38%,53
,Total,100%,58

"Q54 - Having squandered his life's savings on unprofitable business ventures, the _____ entrepreneur was forced to live in squalor."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Having squandered his life's savings on unprofitable business ventures, the _____ entrepreneur was forced to live in squalor.",1.00,5.00,3.73,1.80,3.23,64

#,Answer,%,Count
1,former,28.13%,18
2,unlikely,3.13%,2
3,perturbed,0.00%,0
4,eccentric,4.69%,3
5,insolvent,64.06%,41
,Total,100%,64

Q55 - The sternocleidomastoid is the major muscle that laterally flexes and rotates what?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,1.00,4.00,3.17,1.34,1.81,18

#,Answer,%,Count
1,tongue,27.78%,5
2,eye,0.00%,0
3,knee,0.00%,0
4,head,72.22%,13
,Total,100%,18

Q56 - Workplaces with a minimum of ____ employees need to have a written fire prevention program in place.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Workplaces with a minimum of ____ employees need to have a written fire prevention program in place.,1.00,4.00,2.07,1.22,1.49,14

#,Answer,%,Count
1,5,50.00%,7
2,20,14.29%,2
3,25,14.29%,2
4,11,21.43%,3
,Total,100%,14

Q57 - What is the term for the total kinetic energy of moving particles of matter?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is the term for the total kinetic energy of moving particles of matter?,2.00,4.00,3.06,0.92,0.84,33

#,Answer,%,Count
1,heavy energy,0.00%,0
2,mechanical energy,39.39%,13
3,Newton's energy,15.15%,5
4,thermal energy,45.45%,15
,Total,100%,33

"Q58 - What arises due to crossing over, independent assortment, and the random union of gametes?"
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"What arises due to crossing over, independent assortment, and the random union of gametes?",2.00,4.00,3.82,0.47,0.22,28

#,Answer,%,Count
1,susceptible variation,0.00%,0
2,recessive variation,3.57%,1
3,alternative variation,10.71%,3
4,genetic variation,85.71%,24
,Total,100%,28

"Q59 - Repulsed by _____ employees, the executive informed his staff that he preferred constructive criticism to calculated flattery."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Repulsed by _____ employees, the executive informed his staff that he preferred constructive criticism to calculated flattery.",3.00,5.00,4.73,0.65,0.43,26

#,Answer,%,Count
1,natty,0.00%,0
2,profligate,0.00%,0
3,rapacious,11.54%,3
4,sententious,3.85%,1
5,obsequious,84.62%,22
,Total,100%,26

Q60 - Which fire extinguishers are used to put out fires caused by flammable liquids?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Which fire extinguishers are used to put out fires caused by flammable liquids?,1.00,3.00,2.20,0.60,0.36,20

#,Answer,%,Count
1,Class A water fire extinguishers,10.00%,2
2,Class C dry chemical fire extinguisher,60.00%,12
3,Class B carbon dioxide fire extinguisher,30.00%,6
,Total,100%,20

SC0 - Score
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Score,63.00,145.00,99.59,16.36,267.69,69
