Question,A1ING769NXJIHR: QuizA,A1ING769NXJIHR: QuizB,AFRJKS3Z3H4CA: QuizA,AFRJKS3Z3H4CA: QuizB,A3OB2U61EFEHNP: QuizA,A3OB2U61EFEHNP: QuizB,A1MDZ1K2AL9EKW: QuizA,A1MDZ1K2AL9EKW: QuizB,A2YAYHZYI7M3HD: QuizA,A2YAYHZYI7M3HD: QuizB,A2XQ3CFB5HT2ZQ: QuizA,A2XQ3CFB5HT2ZQ: QuizB,A1945USNZHTROX: QuizA,A1945USNZHTROX: QuizB,A2FL477TMKC91L: QuizA,A2FL477TMKC91L: QuizB,AK2C9AX5QJWUU: QuizA,AK2C9AX5QJWUU: QuizB,AKZ8SFOAI4RZN: QuizA,AKZ8SFOAI4RZN: QuizB,A17MUXOICSH29I: QuizA,A17MUXOICSH29I: QuizB,A2WGOCFKSFGADL: QuizA,A2WGOCFKSFGADL: QuizB,A3LRZX8477TYYZ: QuizA,A3LRZX8477TYYZ: QuizB,A1AQILM7ERX2D0: QuizA,A1AQILM7ERX2D0: QuizB,A5NE8TWS8ZV7B: QuizA,A5NE8TWS8ZV7B: QuizB,A8KX1HFH8NE2Q: QuizA,A8KX1HFH8NE2Q: QuizB,A1WYDO7PQJ8UG: QuizA,A1WYDO7PQJ8UG: QuizB,AGON2ML5JT2OI: QuizA,AGON2ML5JT2OI: QuizB,A1P6OXEJ86HQRM: QuizA,A1P6OXEJ86HQRM: QuizB
10,static,static,discreet,discreet,static,static,static,static,static,static,,,static,static,static,static,static,static,static,static,transient,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static
11,,,,,,,California condor,California condor,California condor,California condor,,,,California condor,California condor,California condor,California condor,California condor,,,California condor,California condor,,,golden eagles,golden eagles,California condor,California condor,,,California condor,California condor,,peregrine falcon,California condor,California condor,California condor,California condor
12,,,,,,,iconoclastic,iconoclastic,meritless,meritless,blithe,blithe,iconoclastic,meritless,meritless,meritless,meritless,meritless,,,meritless,blithe,meritless,iconoclastic,iconoclastic,iconoclastic,meritless,,,,meretricious,meretricious,meritless,meritless,inveterate,inveterate,iconoclastic,iconoclastic
13,,,"v, iv, iii, i, ii","v, iv, iii, i, ii",,,"v, iv, iii, i, ii","v, iv, iii, i, ii","v, iv, iii, i, ii","v, iv, iii, i, ii","iv, i, iii, v, ii","iv, i, iii, v, ii","v, iv, iii, i, ii","v, iv, iii, i, ii",,,"v, iv, iii, i, ii","v, iv, iii, i, ii",,,"iv, i, iii, v, ii","v, iv, iii, i, ii","iv, i, iii, v, ii","iv, i, iii, v, ii","v, iv, iii, i, ii","v, iv, iii, i, ii",,,"v, iv, iii, i, ii","v, iv, iii, i, ii","iv, i, iii, v, ii","iv, i, iii, v, ii",,,"iv, i, iii, v, ii","iv, i, iii, v, ii","v, iv, iii, i, ii","v, iv, iii, i, ii"
14,,,,,,,,,gibberellins,gibberellins,,,,,,,,,,,pores,pores,,,gibberellins,gibberellins,,,,,,,,,sporozoans,sporozoans,pistills,pistills
15,False,False,False,False,,,,,False,False,False,False,False,False,,,False,False,False,False,True,True,False,False,True,True,False,False,,,False,False,True,True,True,True,False,False
16,,,,,,,,,,,,,System Level Monitor,Service Lifecycle Management,,,,,,,Service Lifecycle Management,Service Lifecycle Management,,,,,,,,,,,,,,,System Level Monitor,System Level Monitor
17,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,,,True,True,True,True,True,True,True,True
18,dubious,dubious,dubious,dubious,,,dubious,dubious,solvent,solvent,dubious,dubious,dubious,dubious,dubious,dubious,dubious,dubious,dubious,dubious,dubious,dubious,dubious,dubious,dubious,dubious,dubious,,solvent,solvent,dubious,dubious,,dubious,dubious,dubious,dubious,dubious
19,,,birds,birds,,,mammals,mammals,birds,birds,,,,,,,,,,,reptiles,reptiles,,,birds,birds,birds,birds,,,birds,birds,,,,,reptiles,reptiles
20,,,,,,,genetic variation,genetic variation,genetic variation,genetic variation,,,,,genetic variation,genetic variation,,,genetic variation,genetic variation,genetic variation,genetic variation,genetic variation,genetic variation,genetic variation,genetic variation,,,,,,,,,genetic variation,genetic variation,genetic variation,genetic variation
21,Wash the wound with soap,Wash the wound with soap,,,,,Apply pressure on the wound with a clean cloth or bandage,Apply pressure on the wound with a clean cloth or bandage,Wash the wound with soap,Wash the wound with soap,Apply pressure on the wound with a clean cloth or bandage,Apply pressure on the wound with a clean cloth or bandage,Cover the wound,Cover the wound,,,,,Apply pressure on the wound with a clean cloth or bandage,Apply pressure on the wound with a clean cloth or bandage,Wash the wound with soap,Wash the wound with soap,,,Cover the wound,Apply an antibiotic to the wound,,,,,Apply pressure on the wound with a clean cloth or bandage,Apply pressure on the wound with a clean cloth or bandage,,,Wash the wound with soap,Wash the wound with soap,Cover the wound,Cover the wound
22,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,,,obfuscate,obfuscate,desiccate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,,,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate,obfuscate
Insistent Answers,0,,0,,0,,0,,0,,0,,6,,0,,0,,0,,6,,2,,2,,4,,0,,0,,3,,0,,0,
